name,cat,muscle,presc,unit,log_type,status,image_url,video_url,difficulty,secondary_muscles,movement_pattern,instructions,common_mistakes,alternatives
Behind the Back Wrist Curl (Barbell),Barbell,Forearms,3x15,reps,strength,existing,,,,,,,,
Bench Press (Barbell),Barbell,Chest,4x8,reps,strength,existing,,,,,,,,
Bench Press - Close Grip (Barbell),Barbell,Chest,4x8,reps,strength,existing,,,,,,,,
Bench Press - Wide Grip (Barbell),Barbell,Chest,4x8,reps,strength,existing,,,,,,,,
Bent Over Row (Barbell),Barbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Bent Over Row - Underhand (Barbell),Barbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Bicep Curl (Barbell),Barbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Box Squat (Barbell),Barbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Bulgarian Split Squat (Barbell),Barbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Deadlift (Barbell),Barbell,Glutes,4x8,reps,strength,existing,,,,,,,,
Deadlift (Trap bar),Barbell,Glutes,4x8,reps,strength,existing,,,,,,,,
Decline Bench Press (Barbell),Barbell,Chest,4x8,reps,strength,existing,,,,,,,,
EZ Bar Biceps Curl,Barbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Feet Up Bench Press (Barbell),Barbell,Chest,4x8,reps,strength,existing,,,,,,,,
Floor Press (Barbell),Barbell,Chest,4x8,reps,strength,existing,,,,,,,,
Front Raise (Barbell),Barbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Glute Bridge (Barbell),Barbell,Glutes,4x8,reps,strength,existing,,,,,,,,
Good Morning (Barbell),Barbell,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Hip Thrust (Barbell),Barbell,Glutes,4x8,reps,strength,existing,,,,,,,,
Incline Bench Press (Barbell),Barbell,Chest,4x8,reps,strength,existing,,,,,,,,
JM Press (Barbell),Barbell,Triceps,3x12,reps,strength,existing,,,,,,,,
Landmine 180,Barbell,Abdominals,3x15,reps,strength,existing,,,,,,,,
Landmine Row,Barbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Landmine Squat and Press,Barbell,Full Body,4x8,reps,strength,existing,,,,,,,,
Lunge (Barbell),Barbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Meadows Rows (Barbell),Barbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Overhead Press (Barbell),Barbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Partial Glute Bridge (Barbell),Barbell,Glutes,4x8,reps,strength,existing,,,,,,,,
Pause Squat (Barbell),Barbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Pendlay Row (Barbell),Barbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Preacher Curl (Barbell),Barbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Reverse Curl (Barbell),Barbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Reverse Lunge (Barbell),Barbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Romanian Deadlift (Barbell),Barbell,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Seal Row (Barbell),Barbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Seated Overhead Press (Barbell),Barbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Seated Wrist Curl (Barbell),Barbell,Forearms,3x15,reps,strength,existing,,,,,,,,
Seated Wrist Extension (Barbell),Barbell,Forearms,3x15,reps,strength,existing,,,,,,,,
Shrug (Barbell),Barbell,Traps,3x12,reps,strength,existing,,,,,,,,
Single Arm Landmine Press (Barbell),Barbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Single Leg Romanian Deadlift (Barbell),Barbell,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Skullcrusher (Barbell),Barbell,Triceps,3x12,reps,strength,existing,,,,,,,,
Spider Curl (Barbell),Barbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Squat (Barbell),Barbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Standing Calf Raise (Barbell),Barbell,Calves,3x15,reps,strength,existing,,,,,,,,
Standing Military Press (Barbell),Barbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Sumo Squat (Barbell),Barbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Thruster (Barbell),Barbell,Full Body,4x8,reps,strength,existing,,,,,,,,
Triceps Extension (Barbell),Barbell,Triceps,3x12,reps,strength,existing,,,,,,,,
Upright Row (Barbell),Barbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Arnold Press (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Bench Press (Dumbbell),Dumbbell,Chest,4x8,reps,strength,existing,,,,,,,,
Bent Over Row (Dumbbell),Dumbbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Bicep Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Bulgarian Split Squat (Dumbbell),Dumbbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Chest Fly (Dumbbell),Dumbbell,Chest,4x8,reps,strength,existing,,,,,,,,
Chest Supported Incline Row (Dumbbell),Dumbbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Chest Supported Reverse Fly (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Chest Supported Y Raise (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Curtsy Lunge (Dumbbell),Dumbbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Deadlift (Dumbbell),Dumbbell,Glutes,4x8,reps,strength,existing,,,,,,,,
Decline Bench Press (Dumbbell),Dumbbell,Chest,4x8,reps,strength,existing,,,,,,,,
Decline Chest Fly (Dumbbell),Dumbbell,Chest,4x8,reps,strength,existing,,,,,,,,
Dumbbell Row,Dumbbell,Lats,4x8,reps,strength,existing,,,,,,,,
Dumbbell Snatch,Dumbbell,Full Body,4x8,reps,strength,existing,,,,,,,,
Dumbbell Squeeze Press,Dumbbell,Chest,4x8,reps,strength,existing,,,,,,,,
Dumbbell Step Up,Dumbbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Floor Press (Dumbbell),Dumbbell,Chest,4x8,reps,strength,existing,,,,,,,,
Frog Pumps (Dumbbell),Dumbbell,Glutes,4x8,reps,strength,existing,,,,,,,,
Front Raise (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Hammer Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Hex Press (Dumbbell),Dumbbell,Chest,4x8,reps,strength,existing,,,,,,,,
Hip Thrust (Dumbbell),Dumbbell,Glutes,4x8,reps,strength,existing,,,,,,,,
Incline Bench Press (Dumbbell),Dumbbell,Chest,4x8,reps,strength,existing,,,,,,,,
Incline Chest Fly (Dumbbell),Dumbbell,Chest,4x8,reps,strength,existing,,,,,,,,
Lateral Raise (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Lunge (Dumbbell),Dumbbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Overhead Dumbbell Lunge,Dumbbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Overhead Press (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Pinwheel Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Preacher Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Pullover (Dumbbell),Dumbbell,Lats,4x8,reps,strength,existing,,,,,,,,
Rear Delt Reverse Fly (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Renegade Row (Dumbbell),Dumbbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Reverse Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Reverse Lunge (Dumbbell),Dumbbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Reverse Wrist Curl (Dumbbell),Dumbbell,Forearms,3x15,reps,strength,existing,,,,,,,,
Romanian Deadlift (Dumbbell),Dumbbell,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Seal Row (Dumbbell),Dumbbell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Seated Incline Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Seated Incline Hammer Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Seated Lateral Raise (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Seated Overhead Press (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Shoulder Press (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Shrug (Dumbbell),Dumbbell,Traps,3x12,reps,strength,existing,,,,,,,,
Side Bend (Dumbbell),Dumbbell,Abdominals,3x15,reps,strength,existing,,,,,,,,
Single Leg Hip Thrust (Dumbbell),Dumbbell,Glutes,4x8,reps,strength,existing,,,,,,,,
Single Leg Romanian Deadlift (Dumbbell),Dumbbell,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Single Leg Standing Calf Raise (Dumbbell),Dumbbell,Calves,3x15,reps,strength,existing,,,,,,,,
Skullcrusher (Dumbbell),Dumbbell,Triceps,3x12,reps,strength,existing,,,,,,,,
Spider Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Split Squat (Dumbbell),Dumbbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Squat (Dumbbell),Dumbbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Standing Calf Raise (Dumbbell),Dumbbell,Calves,3x15,reps,strength,existing,,,,,,,,
Stiff Leg Deadlift (Dumbbell),Dumbbell,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Suitcase Carry (Dumbbell),Dumbbell,Full Body,3x400m,distance,carry,existing,,,,,,,,
Sumo Squat (Dumbbell),Dumbbell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Triceps Extension (Dumbbell),Dumbbell,Triceps,3x12,reps,strength,existing,,,,,,,,
Triceps Kickback (Dumbbell),Dumbbell,Triceps,3x12,reps,strength,existing,,,,,,,,
Upright Row (Dumbbell),Dumbbell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Waiter Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Walking Lunge (Dumbbell),Dumbbell,Quadriceps,3x400m,distance,cardio,existing,,,,,,,,
Wide-Elbow Triceps Press (Dumbbell),Dumbbell,Triceps,3x12,reps,strength,existing,,,,,,,,
Zottman Curl (Dumbbell),Dumbbell,Biceps,3x12,reps,strength,existing,,,,,,,,
Back Extension (Machine),Machine,Lower Back,4x8,reps,strength,existing,,,,,,,,
Behind the Back Curl (Cable),Machine,Biceps,3x12,reps,strength,existing,,,,,,,,
Belt Squat (Machine),Machine,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Bench Press (Cable),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Bench Press (Smith Machine),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Bent Over Row (Smith Machine),Machine,Upper Back,4x8,reps,strength,existing,,,,,,,,
Bicep Curl (Cable),Machine,Biceps,3x12,reps,strength,existing,,,,,,,,
Bicep Curl (Machine),Machine,Biceps,3x12,reps,strength,existing,,,,,,,,
Butterfly (Pec Deck),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Cable Core Pallof Press,Machine,Abdominals,3x15,reps,strength,existing,,,,,,,,
Cable Crunch,Machine,Abdominals,3x400m,distance,strength,existing,,,,,,,,
Cable Fly Crossovers,Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Cable Kickback,Machine,Glutes,4x8,reps,strength,existing,,,,,,,,
Cable Pull Through,Machine,Glutes,4x8,reps,strength,existing,,,,,,,,
Cable Twist (Down to up),Machine,Abdominals,3x15,reps,strength,existing,,,,,,,,
Cable Twist (Up to down),Machine,Abdominals,3x15,reps,strength,existing,,,,,,,,
Calf Extension (Machine),Machine,Calves,3x15,reps,strength,existing,,,,,,,,
Calf Press (Machine),Machine,Calves,3x15,reps,strength,existing,,,,,,,,
Chest Fly (Machine),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Chest Press (Machine),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Crunch (Machine),Machine,Abdominals,3x400m,distance,strength,existing,,,,,,,,
Deadlift (Smith Machine),Machine,Glutes,4x8,reps,strength,existing,,,,,,,,
Decline Bench Press (Machine),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Decline Bench Press (Smith Machine),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Front Raise (Cable),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Glute Kickback (Machine),Machine,Glutes,4x8,reps,strength,existing,,,,,,,,
Hack Squat (Machine),Machine,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Hammer Curl (Cable),Machine,Biceps,3x12,reps,strength,existing,,,,,,,,
Hip Abduction (Cable),Machine,Abductors,4x8,reps,strength,existing,,,,,,,,
Hip Abduction (Machine),Machine,Abductors,4x8,reps,strength,existing,,,,,,,,
Hip Adduction (Cable),Machine,Adductors,4x8,reps,strength,existing,,,,,,,,
Hip Adduction (Machine),Machine,Adductors,4x8,reps,strength,existing,,,,,,,,
Hip Thrust (Machine),Machine,Glutes,4x8,reps,strength,existing,,,,,,,,
Hip Thrust (Smith Machine),Machine,Glutes,4x8,reps,strength,existing,,,,,,,,
Incline Bench Press (Smith Machine),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Incline Chest Press (Machine),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Iso-Lateral Chest Press (Machine),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Iso-Lateral High Row (Machine),Machine,Lats,4x8,reps,strength,existing,,,,,,,,
Iso-Lateral Row (Machine),Machine,Upper Back,4x8,reps,strength,existing,,,,,,,,
Lat Pulldown (Cable),Machine,Lats,4x8,reps,strength,existing,,,,,,,,
Lat Pulldown (Machine),Machine,Lats,4x8,reps,strength,existing,,,,,,,,
Lat Pulldown - Close Grip (Cable),Machine,Lats,4x8,reps,strength,existing,,,,,,,,
Lateral Raise (Cable),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Lateral Raise (Machine),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Leg Extension (Machine),Machine,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Leg Press (Machine),Machine,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Leg Press Horizontal (Machine),Machine,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Low Cable Fly Crossovers,Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Lying Leg Curl (Machine),Machine,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Overhead Curl (Cable),Machine,Biceps,3x12,reps,strength,existing,,,,,,,,
Overhead Press (Smith Machine),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Overhead Triceps Extension (Cable),Machine,Triceps,3x12,reps,strength,existing,,,,,,,,
Pendulum Squat (Machine),Machine,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Preacher Curl (Machine),Machine,Biceps,3x12,reps,strength,existing,,,,,,,,
Pullover (Machine),Machine,Lats,4x8,reps,strength,existing,,,,,,,,
Rear Delt Reverse Fly (Cable),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Rear Delt Reverse Fly (Machine),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Rear Kick (Machine),Machine,Glutes,4x8,reps,strength,existing,,,,,,,,
Reverse Curl (Cable),Machine,Biceps,3x12,reps,strength,existing,,,,,,,,
Reverse Fly Single Arm (Cable),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Reverse Grip Lat Pulldown (Cable),Machine,Lats,4x8,reps,strength,existing,,,,,,,,
Romanian Deadlift (Smith Machine),Machine,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Rope Cable Curl,Machine,Biceps,3x12,reps,strength,existing,,,,,,,,
Rowing Machine,Machine,Cardio,3x400m,distance,cardio,existing,,,,,,,,
Seated Cable Row - Bar Grip,Machine,Upper Back,4x8,reps,strength,existing,,,,,,,,
Seated Cable Row - Bar Wide Grip,Machine,Upper Back,4x8,reps,strength,existing,,,,,,,,
Seated Cable Row - V Grip (Cable),Machine,Upper Back,4x8,reps,strength,existing,,,,,,,,
Seated Chest Flys (Cable),Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Seated Dip Machine,Machine,Triceps,3x12,reps,strength,existing,,,,,,,,
Seated Leg Curl (Machine),Machine,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Seated Row (Machine),Machine,Upper Back,4x8,reps,strength,existing,,,,,,,,
Seated Shoulder Press (Machine),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Shoulder Press (Machine Plates),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Shrug (Cable),Machine,Traps,3x12,reps,strength,existing,,,,,,,,
Shrug (Machine),Machine,Traps,3x12,reps,strength,existing,,,,,,,,
Shrug (Smith Machine),Machine,Traps,3x12,reps,strength,existing,,,,,,,,
Single Arm Cable Crossover,Machine,Chest,4x8,reps,strength,existing,,,,,,,,
Single Arm Cable Row,Machine,Upper Back,4x8,reps,strength,existing,,,,,,,,
Single Arm Curl (Cable),Machine,Biceps,3x12,reps,strength,existing,,,,,,,,
Single Arm Lateral Raise (Cable),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Single Arm Triceps Pushdown (Cable),Machine,Triceps,3x12,reps,strength,existing,,,,,,,,
Single Leg Press (Machine),Machine,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Single Leg Standing Calf Raise (Machine),Machine,Calves,3x15,reps,strength,existing,,,,,,,,
Squat (Machine),Machine,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Squat (Smith Machine),Machine,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Stair Machine (Floors),Machine,Cardio,3x400m,distance,strength,existing,,,,,,,,
Stair Machine (Steps),Machine,Cardio,3x400m,distance,strength,existing,,,,,,,,
Standing Cable Glute Kickbacks,Machine,Glutes,4x8,reps,strength,existing,,,,,,,,
Standing Calf Raise (Machine),Machine,Calves,3x15,reps,strength,existing,,,,,,,,
