name,cat,muscle,presc,unit,has image,how to do it,common mistakes
Landmine Anti Rotation,Barbell,Abdominals,3x12,reps,yes,,
Spider Curl (Barbell),Barbell,Biceps,3x12,reps,yes,,
Board Press,Barbell,Chest,4x3,reps,,,
Chain Bench Press,Barbell,Chest,4x3,reps,yes,,
Larsen Press,Barbell,Chest,4x5,reps,yes,,
Reverse Band Bench Press,Barbell,Chest,4x3,reps,yes,,
Spoto Press,Barbell,Chest,4x5,reps,yes,,
Fat Grip Hold,Barbell,Forearms,3x30s,time,,,
Bear Complex,Barbell,Full Body,5x7,reps,,,
Burpee Deadlift,Barbell,Full Body,4x8,reps,,,
Clean to Overhead,Barbell,Full Body,4x6,reps,,,
Axle Deadlift,Barbell,Glutes,4x5,reps,yes,,
Block Pull Deadlift,Barbell,Glutes,4x4,reps,yes,,
Deficit Deadlift,Barbell,Glutes,4x4,reps,yes,,
Jefferson Deadlift,Barbell,Glutes,4x6,reps,yes,,
Jefferson Curl,Barbell,Lower Back,3x8,reps,yes,,
Anderson Squat,Barbell,Quadriceps,4x3,reps,yes,,
Pin Squat,Barbell,Quadriceps,4x3,reps,yes,,
Reverse Lunge (Barbell),Barbell,Quadriceps,4x8,reps,yes,,
Safety Bar Squat,Barbell,Quadriceps,4x6,reps,yes,,
Behind the Neck Press,Barbell,Shoulders,4x8,reps,yes,,
Bradford Press,Barbell,Shoulders,3x10,reps,yes,,
Landmine Lateral Raise,Barbell,Shoulders,3x12,reps,yes,,
Log Press,Barbell,Shoulders,4x5,reps,,,
Muscle Snatch,Barbell,Shoulders,4x3,reps,yes,,
Pin Press,Barbell,Shoulders,4x3,reps,yes,,
Push Jerk,Barbell,Shoulders,5x3,reps,yes,,
Bent Over Row (Barbell),Barbell,Upper Back,4x8,reps,yes,,
Bent Over Row - Underhand (Barbell),Barbell,Upper Back,4x8,reps,,,
Landmine Row,Barbell,Upper Back,4x8,reps,yes,,
Meadows Row,Barbell,Upper Back,4x10,reps,,,
Snatch Grip Deadlift,Barbell,Upper Back,4x5,reps,,,
Snatch Pull,Barbell,Upper Back,4x3,reps,yes,,
Ab Rollout from Standing,Bodyweight,Abdominals,3x6,reps,yes,,
Cross Body Mountain Climber,Bodyweight,Abdominals,3x30,reps,,,
Curl Up McGill,Bodyweight,Abdominals,3x10,reps,,,
Elbow Lever Hold,Bodyweight,Abdominals,3x15s,time,,,
Flutter Kick,Bodyweight,Abdominals,3x30,reps,yes,,
Hanging Windshield Wiper,Bodyweight,Abdominals,3x8,reps,yes,,
Heel Tap,Bodyweight,Abdominals,3x20,reps,yes,,
Human Flag Hold,Bodyweight,Abdominals,4x10s,time,yes,,
Kipping Toes to Bar,Bodyweight,Abdominals,4x10,reps,yes,,
Pilates Hundred,Bodyweight,Abdominals,3x100,reps,,,
Pilates Roll Up,Bodyweight,Abdominals,3x10,reps,,,
Pilates Teaser,Bodyweight,Abdominals,3x8,reps,,,
Plank Jack,Bodyweight,Abdominals,3x20,reps,,,
Plank Shoulder Tap,Bodyweight,Abdominals,3x20,reps,yes,,
Scissor Kick,Bodyweight,Abdominals,3x30,reps,yes,,
Side Bridge McGill Hold,Bodyweight,Abdominals,3x30s,time,,,
Side Plank Dip,Bodyweight,Abdominals,3x15,reps,yes,,
Standing Ab Wheel,Bodyweight,Abdominals,3x6,reps,,,
Stir the Pot Hold,Bodyweight,Abdominals,3x30s,time,,,
Toe Touch Crunch,Bodyweight,Abdominals,3x20,reps,yes,,
