Exercise,Workout Category,Equipment Needed,Can Do At Home,Library Category,Muscle Group,Default Sets x Reps,Log Type
Landmine 180,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Abdominals,3x15,reps
Landmine Anti Rotation,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Abdominals,3x12,reps
Bicep Curl (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Biceps,3x12,reps
EZ Bar Biceps Curl,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Biceps,3x12,reps
Preacher Curl (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Biceps,3x12,reps
Reverse Curl (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Biceps,3x12,reps
Spider Curl (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Biceps,3x12,reps
Standing Calf Raise (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Calves,3x15,reps
Bench Press - Close Grip (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x8,reps
Bench Press - Wide Grip (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x8,reps
Bench Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x8,reps
Board Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x3,reps
Chain Bench Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x3,reps
Decline Bench Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x8,reps
Feet Up Bench Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x8,reps
Floor Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x8,reps
Incline Bench Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x8,reps
Larsen Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x5,reps
Reverse Band Bench Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x3,reps
Spoto Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Chest,4x5,reps
Behind the Back Wrist Curl (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Forearms,3x15,reps
Fat Grip Hold,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Forearms,3x30s,time
Seated Wrist Curl (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Forearms,3x15,reps
Seated Wrist Extension (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Forearms,3x15,reps
Bear Complex,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,5x7,reps
Burpee Deadlift,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Clean,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Clean and Jerk,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Clean and Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Clean Pull,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Clean to Overhead,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x6,reps
Hang Clean,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Hang Snatch,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
