exercise_name,muscle_group
Lat Pulldown (Machine),Lats
Iso-Lateral Row (Machine),Upper Back
Rear Delt Reverse Fly (Machine),Shoulders
Bicep Curl (Dumbbell),Biceps
Treadmill,Cardio
Chest Press (Machine),Chest
Butterfly (Pec Deck),Chest
Shoulder Press (Machine Plates),Shoulders
Lateral Raise (Machine),Shoulders
Shrug (Machine),Traps
Rear Delt Reverse Fly (Cable),Shoulders
Spinning,Cardio
Leg Extension (Machine),Quadriceps
Squat (Machine),Quadriceps
Single Leg Standing Calf Raise (Machine),Calves
Back Extension (Weighted Hyperextension),Lower Back
Iso-Lateral Low Row,Upper Back
Hammer Curl (Dumbbell),Biceps
Back Extension (Hyperextension),Lower Back
Elliptical Trainer,Cardio
Iso-Lateral Chest Press (Machine),Chest
Triceps Rope Pushdown,Triceps
Triceps Extension (Cable),Triceps
Romanian Deadlift (Barbell),Hamstrings
21s Bicep Curl,Biceps
Ab Scissors,Abdominals
Ab Wheel,Abdominals
Aerobics,Cardio
Air Bike,Cardio
Arnold Press (Dumbbell),Shoulders
Around The World,Chest
Back Extension (Machine),Lower Back
Ball Slams,Full Body
Band Pullaparts,Shoulders
Battle Ropes,Cardio
Bear Crawl,Full Body
Behind the Back Curl (Cable),Biceps
Behind the Back Wrist Curl (Barbell),Forearms
Belt Squat (Machine),Quadriceps
Bench Dip,Triceps
Bench Press - Close Grip (Barbell),Chest
Bench Press - Wide Grip (Barbell),Chest
Bench Press (Barbell),Chest
Bench Press (Cable),Chest
Bench Press (Dumbbell),Chest
Bench Press (Smith Machine),Chest
Bent Over Row - Underhand (Barbell),Upper Back
Bent Over Row (Band),Upper Back
Bent Over Row (Barbell),Upper Back
Bent Over Row (Dumbbell),Upper Back
Bent Over Row (Smith Machine),Upper Back
Bicep Curl (Barbell),Biceps
Bicep Curl (Cable),Biceps
Bicep Curl (Machine),Biceps
Bicep Curl (Suspension),Biceps
Bicycle Crunch,Abdominals
Bicycle Crunch Raised Legs,Abdominals
Bird Dog,Glutes
Box Jump,Quadriceps
Box Squat (Barbell),Quadriceps
Boxing,Cardio
Bulgarian Split Squat (Barbell),Quadriceps
Bulgarian Split Squat (Dumbbell),Quadriceps
Burpee,Full Body
Burpee Broad Jumps,Full Body
Burpee Over the Bar,Full Body
Cable Core Pallof Press,Abdominals
Cable Crunch,Abdominals
